0.0,0.7757432827715255,0.6182498950969949,0.6004388714733543,0.0,0.7771508939829934,0.6,0.5828025477707006,0.6656358003914469,0.6727955801453017,256,512,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,1
0.0,0.7691484471198051,0.6485376718961844,0.5248275862068965,0.0,0.7740362335240928,0.6460905349794238,0.5,0.6672767856395547,0.6655131632579293,256,512,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,2
0.0,0.7642492133435855,0.621364283976787,0.5605329153605015,0.0,0.7711586752454548,0.604982206405694,0.5414012738853503,0.6480183434035944,0.6594015190995355,256,512,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,3
0.0,0.7747109518919005,0.6383253154849056,0.574012539184953,0.0,0.7747313740071345,0.6170212765957447,0.554140127388535,0.6437068050713488,0.6624659343438299,256,256,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,4
0.0,0.7674535501701822,0.6460309722899247,0.5400940438871473,0.0,0.7682487848513262,0.628,0.5,0.6527745536605197,0.6634398192153339,256,256,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,5
0.0,0.7648444339891491,0.622444722569879,0.5612539184952978,0.0,0.7622511774278725,0.6125461254612546,0.5286624203821656,0.6603509903072433,0.6601746301540735,256,256,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,6
0.0,0.7719066621141324,0.6182087143625605,0.5764263322884012,0.0,0.7609471154364297,0.5919732441471572,0.5636942675159236,0.6640437125982228,0.664511652799957,256,128,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,7
0.0,0.7746430515601392,0.6881710303258618,0.4581191222570533,0.0,0.779780572709539,0.6865671641791045,0.4394904458598726,0.6676186641214932,0.6713498610974687,256,128,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,8
0.0,0.7799539166133447,0.6714268618612629,0.5276489028213166,0.0,0.7824749156670655,0.6666666666666666,0.5031847133757962,0.6569533142287585,0.6712933710975323,256,128,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,9
0.0,0.7785527860972055,0.6939254486884492,0.4726959247648903,0.0,0.7850075980471403,0.705,0.44904458598726116,0.6668316809474066,0.6905094453119223,256,64,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,10
0.0,0.7747382488157137,0.6658685925111861,0.5318181818181819,0.0,0.7666914546218759,0.6245059288537549,0.5031847133757962,0.6701765982952039,0.6691909811132918,256,64,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,11
0.0,0.7716096103281589,0.6897867671611888,0.45329153605015676,0.0,0.7738368521452359,0.7010309278350515,0.43312101910828027,0.6585192928930357,0.6768312438195336,256,64,512,perm,0.001,100,512,256,5,tcn_abnormlabs_baseline/permutation_percent_1_100_unique0_label,GRU + perm,12
